timestamp,experiment_id,model_type,coin,timeframe,accuracy,mae,rmse,latency_ms,action,status,notes
2026-02-04T21:54:35.802170,3057fd4a,LSTM,btc,1h,98.03,1561.0788,1925.9650,30620.45,training,success,MAE=1561.0788 | RMSE=1925.9650
2026-02-04T21:55:06.134836,d313ee0b,GRU,btc,1h,99.06,753.7347,1038.8600,30331.59,training,success,MAE=753.7347 | RMSE=1038.8600
2026-02-04T21:55:35.639007,9a3c7a5c,LSTM,btc,4h,98.76,1073.7634,1523.5644,29502.92,training,success,MAE=1073.7634 | RMSE=1523.5644
2026-02-04T21:56:06.278830,1add4d25,GRU,btc,4h,99.29,614.7591,912.6426,30639.32,training,success,MAE=614.7591 | RMSE=912.6426
2026-02-04T21:56:36.240753,8ad92fad,LSTM,eth,1h,95.69,104.7970,120.8760,29961.40,training,success,MAE=104.7970 | RMSE=120.8760
2026-02-04T21:57:07.990120,58d6d258,GRU,eth,1h,98.18,44.1912,56.7450,31749.37,training,success,MAE=44.1912 | RMSE=56.7450
2026-02-04T21:57:38.075454,e48969c1,LSTM,eth,4h,97.77,62.9247,83.9351,30083.92,training,success,MAE=62.9247 | RMSE=83.9351
2026-02-04T21:58:08.588545,3abe3e3e,GRU,eth,4h,98.59,40.0159,55.3368,30511.54,training,success,MAE=40.0159 | RMSE=55.3368
2026-02-06T20:18:11.848866,0b7d3ae0,LSTM,btc,1h,95.71,3140.1929,3726.1315,35041.33,training,success,MAE=3140.1929 | RMSE=3726.1315
2026-02-06T20:18:52.422215,95837ff6,GRU,btc,1h,97.89,1553.5902,1913.6061,40571.84,training,success,MAE=1553.5902 | RMSE=1913.6061
2026-02-06T20:19:33.143062,1384be20,LSTM,btc,4h,97.96,1641.6137,2441.2810,40718.84,training,success,MAE=1641.6137 | RMSE=2441.2810
2026-02-06T20:20:12.310793,aeddc328,GRU,btc,4h,98.83,951.7692,1478.0045,39164.09,training,success,MAE=951.7692 | RMSE=1478.0045
2026-02-06T20:20:51.162396,ef0c93ce,LSTM,eth,1h,93.12,152.4725,168.8391,38850.05,training,success,MAE=152.4725 | RMSE=168.8391
2026-02-06T20:21:27.770385,90ec766d,GRU,eth,1h,97.76,49.3678,63.2072,36607.17,training,success,MAE=49.3678 | RMSE=63.2072
2026-02-06T20:22:02.370703,f79d3a54,LSTM,eth,4h,97.35,68.6858,96.9102,34600.00,training,success,MAE=68.6858 | RMSE=96.9102
2026-02-06T20:22:38.678095,437bac48,GRU,eth,4h,98.46,41.1526,58.3689,36304.33,training,success,MAE=41.1526 | RMSE=58.3689
2026-02-07T03:27:44.773562,e3ebca76,LSTM,btc,1h,97.94,1443.9515,2093.6416,44279.64,training,success,MAE=1443.9515 | RMSE=2093.6416
2026-02-07T03:28:46.350017,741f444e,GRU,btc,1h,98.34,1188.7814,1560.0457,61575.43,training,success,MAE=1188.7814 | RMSE=1560.0457
2026-02-07T03:29:25.389460,0d28bbbe,LSTM,btc,4h,98.30,1351.4669,1985.1689,39037.94,training,success,MAE=1351.4669 | RMSE=1985.1689
2026-02-07T03:30:01.001149,68cb1e97,GRU,btc,4h,98.99,810.1948,1235.1581,35609.46,training,success,MAE=810.1948 | RMSE=1235.1581
2026-02-07T03:30:49.781395,af6060c9,LSTM,eth,1h,95.35,98.3135,117.0000,48780.25,training,success,MAE=98.3135 | RMSE=117.0000
2026-02-07T03:31:38.300265,37a1e696,GRU,eth,1h,97.44,54.5463,66.7730,48517.36,training,success,MAE=54.5463 | RMSE=66.7730
2026-02-07T03:32:09.060376,a455aae4,LSTM,eth,4h,97.16,72.4991,96.1013,30759.11,training,success,MAE=72.4991 | RMSE=96.1013
2026-02-07T03:32:40.396123,bb14f8da,GRU,eth,4h,98.01,51.0003,69.7285,31334.68,training,success,MAE=51.0003 | RMSE=69.7285
2026-02-12T00:19:57.336932,bc5abf65,LSTM,btc,1h,92.21,5340.1546,5469.5359,32140.01,training,success,MAE=5340.1546 | RMSE=5469.5359
2026-02-12T00:20:27.798881,1d1db331,GRU,btc,1h,98.19,1237.9888,1408.7663,30459.88,training,success,MAE=1237.9888 | RMSE=1408.7663
2026-02-12T00:20:57.410042,4ad710b0,LSTM,btc,4h,97.66,1784.6910,2376.1834,29610.63,training,success,MAE=1784.6910 | RMSE=2376.1834
2026-02-12T00:21:28.220825,4baaf038,GRU,btc,4h,98.23,1353.4998,1745.8641,30807.25,training,success,MAE=1353.4998 | RMSE=1745.8641
2026-02-12T00:21:58.380619,01d321ab,LSTM,eth,1h,89.34,215.4337,219.1904,30158.11,training,success,MAE=215.4337 | RMSE=219.1904
2026-02-12T00:22:29.059774,a5525e66,GRU,eth,1h,96.85,63.5661,68.7373,30678.63,training,success,MAE=63.5661 | RMSE=68.7373
2026-02-12T00:22:58.963116,1c297ab5,LSTM,eth,4h,96.82,75.1773,95.9398,29902.00,training,success,MAE=75.1773 | RMSE=95.9398
2026-02-12T00:23:30.819932,da85b583,GRU,eth,4h,98.46,37.1245,50.1792,31856.49,training,success,MAE=37.1245 | RMSE=50.1792
2026-02-12T01:52:27.652735,239fc167,LSTM,btc,1h,94.35,4147.6450,6973.0807,429691.84,training,success,MAE=4147.6450 | RMSE=6973.0807
2026-02-12T01:54:32.139083,5b4a61f8,GRU,btc,1h,95.14,3851.9691,5335.3351,124485.68,training,success,MAE=3851.9691 | RMSE=5335.3351
2026-02-12T01:59:18.523212,d86462e5,LSTM,btc,4h,96.31,3831.2141,5183.4514,286382.39,training,success,MAE=3831.2141 | RMSE=5183.4514
2026-02-12T02:04:43.901805,a193a34f,GRU,btc,4h,97.54,2494.9095,3222.8574,325377.57,training,success,MAE=2494.9095 | RMSE=3222.8574
2026-02-12T02:11:20.380337,23b5b05c,LSTM,eth,1h,91.36,190.4077,314.4943,396474.91,training,success,MAE=190.4077 | RMSE=314.4943
2026-02-12T02:16:05.250415,1f629881,GRU,eth,1h,93.48,148.2446,225.4408,284866.48,training,success,MAE=148.2446 | RMSE=225.4408
2026-02-12T02:19:20.873616,cf840d13,LSTM,eth,4h,93.09,256.9626,327.3856,195581.73,training,success,MAE=256.9626 | RMSE=327.3856
2026-02-12T02:22:40.627918,95c4d59d,GRU,eth,4h,96.40,131.1346,188.2029,199753.24,training,success,MAE=131.1346 | RMSE=188.2029
2026-02-12T02:59:07.803693,b2ffef9c,LSTM,btc,1h,85.15,10115.6167,11626.4587,95091.24,training,success,MAE=10115.6167 | RMSE=11626.4587
2026-02-12T03:00:03.165045,91a737b8,GRU,btc,1h,89.06,6334.7817,7896.4382,55360.84,training,success,MAE=6334.7817 | RMSE=7896.4382
2026-02-12T03:01:27.407590,a48b0765,LSTM,btc,4h,91.17,4009.9497,5281.2227,84240.09,training,success,MAE=4009.9497 | RMSE=5281.2227
2026-02-12T03:02:41.930128,7130dc3f,GRU,btc,4h,91.14,2835.8606,3679.7879,74521.41,training,success,MAE=2835.8606 | RMSE=3679.7879
2026-02-12T03:04:50.963165,57634e02,LSTM,eth,1h,73.10,552.5712,627.0533,129031.24,training,success,MAE=552.5712 | RMSE=627.0533
2026-02-12T03:06:54.385937,cc006b9a,GRU,eth,1h,75.45,487.9212,557.1755,123421.42,training,success,MAE=487.9212 | RMSE=557.1755
2026-02-12T03:08:04.569557,4e74c1ab,LSTM,eth,4h,84.72,147.1471,185.6932,70179.39,training,success,MAE=147.1471 | RMSE=185.6932
2026-02-12T03:08:59.257894,9690c5ef,GRU,eth,4h,84.20,166.1418,199.2147,54687.76,training,success,MAE=166.1418 | RMSE=199.2147
2026-02-13T19:10:30.728078,a6266844,LSTM,btc,1h,88.82,5050.3721,8103.7120,419448.43,training,success,MAE=5050.3721 | RMSE=8103.7120
2026-02-13T19:20:31.561952,ee747f39,GRU,btc,1h,88.72,4077.7343,6272.4415,600833.87,training,success,MAE=4077.7343 | RMSE=6272.4415
2026-02-13T19:24:47.486431,93c5685c,LSTM,btc,4h,85.66,6389.2066,7048.0451,255921.77,training,success,MAE=6389.2066 | RMSE=7048.0451
2026-02-13T19:27:39.423560,266f7ed1,GRU,btc,4h,83.34,5161.3185,6170.3205,171935.57,training,success,MAE=5161.3185 | RMSE=6170.3205
2026-02-13T20:00:50.426291,ef09090a,LSTM,eth,1h,81.39,264.5211,412.1888,1991002.73,training,success,MAE=264.5211 | RMSE=412.1888
2026-02-13T20:03:14.582303,741332b5,GRU,eth,1h,80.69,196.7299,285.0809,144153.98,training,success,MAE=196.7299 | RMSE=285.0809
2026-02-13T20:07:14.044303,34ca5419,LSTM,eth,4h,78.16,148.6267,198.4717,239459.29,training,success,MAE=148.6267 | RMSE=198.4717
2026-02-13T20:09:44.412680,a9c30433,GRU,eth,4h,77.35,141.0709,175.6741,150367.06,training,success,MAE=141.0709 | RMSE=175.6741
2026-03-01T03:15:15.507494,3bf4fe99,LSTM,btc,1h,80.43,12688.0353,15001.3285,339703.19,training,success,MAE=12688.0353 | RMSE=15001.3285
2026-03-01T03:19:07.445271,81cb40d3,GRU,btc,1h,81.75,11352.7303,13510.9611,231934.96,training,success,MAE=11352.7303 | RMSE=13510.9611
2026-03-01T03:22:43.964170,c1617aa6,LSTM,btc,4h,81.14,5544.5769,6055.8454,216518.90,training,success,MAE=5544.5769 | RMSE=6055.8454
2026-03-01T03:24:48.374629,79518bf9,GRU,btc,4h,80.43,5394.9422,6309.4041,124410.46,training,success,MAE=5394.9422 | RMSE=6309.4041
2026-03-01T03:29:27.632461,a431be1e,LSTM,eth,1h,69.99,569.1359,667.3299,279257.25,training,success,MAE=569.1359 | RMSE=667.3299
2026-03-01T03:34:35.981212,1058ec3c,GRU,eth,1h,69.17,613.8752,709.1377,308348.75,training,success,MAE=613.8752 | RMSE=709.1377
2026-03-01T03:37:51.020480,a5d428ef,LSTM,eth,4h,74.10,136.6695,185.3394,195039.27,training,success,MAE=136.6695 | RMSE=185.3394
2026-03-01T03:40:01.338312,3b305a40,GRU,eth,4h,69.34,183.1218,222.5645,130316.83,training,success,MAE=183.1218 | RMSE=222.5645
